sru_type,altitude,visibility,search_object_en,search_object_size,sweep_width
FIXED,300,10,RAFT,10,2.60
FIXED,300,10,RAFT,15,2.80
FIXED,300,10,RAFT,20,3.20
FIXED,300,10,RAFT,25,3.50
FIXED,300,10,SAILBOAT,5,3.30
FIXED,300,10,SAILBOAT,8,5.00
FIXED,300,10,SAILBOAT,12,7.60
FIXED,300,10,SAILBOAT,15,8.50
FIXED,300,10,SAILBOAT,21,9.30
FIXED,300,10,SAILBOAT,25,9.90
FIXED,300,10,SHIP,27,11.10
FIXED,300,10,SHIP,46,11.10
FIXED,300,10,SHIP,47,12.50
FIXED,300,10,SHIP,91,12.50
FIXED,300,10,SHIP,92,13.20
FIXED,300,15,PIW,1,0.10
FIXED,300,15,POWERBOAT,5,1.80
FIXED,300,15,POWERBOAT,6,4.40
FIXED,300,15,POWERBOAT,10,6.80
FIXED,300,15,POWERBOAT,16,10.90
FIXED,300,15,POWERBOAT,24,13.60
FIXED,300,15,RAFT,1,1.40
FIXED,300,15,RAFT,4,2.10
FIXED,300,15,RAFT,6,2.60
FIXED,300,15,RAFT,8,2.80
FIXED,300,15,RAFT,10,3.00
FIXED,300,15,RAFT,15,3.40
FIXED,300,15,RAFT,20,3.90
FIXED,300,15,RAFT,25,4.20
FIXED,300,15,SAILBOAT,5,4.00
FIXED,300,15,SAILBOAT,8,6.20
FIXED,300,15,SAILBOAT,12,10.90
FIXED,300,15,SAILBOAT,15,11.40
FIXED,300,15,SAILBOAT,21,12.80
FIXED,300,15,SAILBOAT,25,13.80
FIXED,300,15,SHIP,27,15.90
FIXED,300,15,SHIP,46,15.90
FIXED,300,15,SHIP,47,18.90
FIXED,300,15,SHIP,91,18.90
FIXED,300,15,SHIP,92,20.60
FIXED,300,20,PIW,1,0.10
FIXED,300,20,POWERBOAT,5,2.00
FIXED,300,20,POWERBOAT,6,5.00
FIXED,300,20,POWERBOAT,10,7.80
FIXED,300,20,POWERBOAT,16,13.10
FIXED,300,20,POWERBOAT,24,16.70
FIXED,300,20,RAFT,1,1.40
FIXED,300,20,RAFT,4,2.30
FIXED,300,20,RAFT,6,2.80
FIXED,300,20,RAFT,8,3.00
FIXED,300,20,RAFT,10,3.30
FIXED,300,20,RAFT,15,3.70
FIXED,300,20,RAFT,20,4.30
FIXED,300,20,RAFT,25,4.70
FIXED,300,20,SAILBOAT,5,4.40
FIXED,300,20,SAILBOAT,8,7.10
FIXED,300,20,SAILBOAT,12,12.00
FIXED,300,20,SAILBOAT,15,13.70
FIXED,300,20,SAILBOAT,21,15.60
FIXED,300,20,SAILBOAT,25,17.00
FIXED,300,20,SHIP,27,20.10
FIXED,300,20,SHIP,46,20.10
FIXED,300,20,SHIP,47,24.70
FIXED,300,20,SHIP,91,24.70
FIXED,300,20,SHIP,92,27.90
FIXED,600,1,PIW,1,0.00
FIXED,600,1,POWERBOAT,5,0.20
FIXED,600,1,POWERBOAT,6,0.30
FIXED,600,1,POWERBOAT,10,0.30
FIXED,600,1,POWERBOAT,16,0.40
FIXED,600,1,POWERBOAT,24,0.40
FIXED,600,1,RAFT,1,0.10
FIXED,600,1,RAFT,4,0.20
FIXED,600,1,RAFT,6,0.20
FIXED,600,1,RAFT,8,0.20
FIXED,600,1,RAFT,10,0.20
FIXED,600,1,RAFT,15,0.20
FIXED,600,1,RAFT,20,0.40
FIXED,600,1,RAFT,25,0.30
FIXED,600,1,SAILBOAT,5,0.30
FIXED,600,1,SAILBOAT,8,0.30
FIXED,600,1,SAILBOAT,12,0.40
FIXED,600,1,SAILBOAT,15,0.40
FIXED,600,1,SAILBOAT,21,0.40
FIXED,600,1,SAILBOAT,25,0.40
FIXED,600,1,SHIP,27,0.40
FIXED,600,1,SHIP,46,0.40
FIXED,600,1,SHIP,47,0.40
FIXED,600,1,SHIP,91,0.40
FIXED,600,1,SHIP,92,0.50
FIXED,600,3,PIW,1,0.00
FIXED,600,3,POWERBOAT,5,1.00
FIXED,600,3,POWERBOAT,6,1.70
FIXED,600,3,POWERBOAT,10,2.20
